WEEK,OPP,TD,INT,FR,SCK,SFTY,BLK,PA,FPTS,Lions D
2,@Ari,0,1,0,3,0,0,30,2,
3,@Cle,0,0,0,2,0,0,34,2,
4,Bal,0,2,0,1,0,0,31,3,
5,LAR,0,1,0,1,0,0,30,0,
6,@NYG,0,1,0,1,0,0,14,6,
7,Dal,0,1,0,6,1,0,3,21,
8,BYE,--,--,--,--,--,--,--,--,
9,NYG,0,0,0,5,0,0,23,5,
10,@Det,0,0,0,1,0,0,30,-1,
11,Cin,0,1,1,4,0,0,9,14,
12,@Dal,1,1,1,4,0,0,16,18,
13,@Pit,0,1,0,0,0,0,17,3,
14,@SF,2,1,2,4,0,0,15,25,
15,Sea,0,1,0,0,0,0,20,2,
16,Car,0,1,1,4,0,0,20,12,
17,@Phi,0,2,1,3,0,0,14,12,
1,Cle,0,1,2,2,0,0,6,15,Ravens
2,@Hou,1,1,1,4,0,0,16,16,
3,KC,1,0,1,0,0,0,34,2,
4,@Wsh,0,0,1,3,0,0,17,7,
5,Cin,1,1,2,7,0,0,3,28,
6,@Phi,0,0,1,6,0,0,28,10,
7,BYE,--,--,--,--,--,--,--,--,
8,Pit,0,0,1,2,0,0,22,8,
9,@Ind,1,1,1,0,0,0,10,15,
10,@NE,0,0,0,1,0,0,23,1,
11,Ten,0,1,0,2,0,0,30,1,
12,@Pit,0,1,1,0,0,0,13,10,
13,Dal,0,1,0,1,0,0,17,3,
14,@Cle,0,1,0,0,1,0,42,-1,
15,Jax,0,0,1,5,1,0,14,13,
16,NYG,0,0,0,6,0,0,13,11,
17,@Cin,0,2,0,0,0,0,3,13,
1,@Jax,0,0,0,4,0,0,27,6,Colts
2,Min,0,3,0,3,1,0,11,19,
3,NYJ,2,3,0,2,1,0,7,27,
4,@Chi,0,1,0,1,0,0,11,8,
5,@Cle,1,2,0,1,0,0,24,11,
6,Cin,0,1,0,2,0,0,27,4,
7,BYE,--,--,--,--,--,--,--,--,
8,@Det,1,1,1,5,0,0,21,17,
9,Bal,0,0,1,2,0,0,18,8,
10,@Ten,1,0,0,1,0,1,17,12,
